Date,year,month,day,"product1, CFR market1"
2019-03-22,2019.0,3.0,22.0,1013.0
2019-03-21,2019.0,3.0,21.0,1013.0
2019-03-20,2019.0,3.0,20.0,1013.0
2019-03-19,2019.0,3.0,19.0,1013.0
2019-03-18,2019.0,3.0,18.0,1013.0
2019-03-15,2019.0,3.0,15.0,1013.0
2019-03-14,2019.0,3.0,14.0,1013.0
2019-03-13,2019.0,3.0,13.0,1003.0
2019-03-12,2019.0,3.0,12.0,1003.0
2019-03-11,2019.0,3.0,11.0,1003.0
2019-03-08,2019.0,3.0,8.0,1003.0
2019-03-07,2019.0,3.0,7.0,998.0
2019-03-06,2019.0,3.0,6.0,998.0
2019-03-05,2019.0,3.0,5.0,998.0
2019-03-04,2019.0,3.0,4.0,998.0
2019-03-01,2019.0,3.0,1.0,998.0
2019-02-28,2019.0,2.0,28.0,998.0
2019-02-27,2019.0,2.0,27.0,993.0
2019-02-26,2019.0,2.0,26.0,993.0
2019-02-25,2019.0,2.0,25.0,993.0
2019-02-22,2019.0,2.0,22.0,993.0
2019-02-21,2019.0,2.0,21.0,993.0
2019-02-20,2019.0,2.0,20.0,993.0
2019-02-19,2019.0,2.0,19.0,993.0
2019-02-18,2019.0,2.0,18.0,993.0
2019-02-15,2019.0,2.0,15.0,993.0
2019-02-14,2019.0,2.0,14.0,993.0
2019-02-13,2019.0,2.0,13.0,988.0
2019-02-12,2019.0,2.0,12.0,963.0
2019-02-11,2019.0,2.0,11.0,963.0
2019-02-08,2019.0,2.0,8.0,958.0
2019-02-07,2019.0,2.0,7.0,943.0
2019-02-04,2019.0,2.0,4.0,943.0
2019-02-01,2019.0,2.0,1.0,943.0
2019-01-31,2019.0,1.0,31.0,943.0
2019-01-30,2019.0,1.0,30.0,943.0
2019-01-29,2019.0,1.0,29.0,938.0
2019-01-28,2019.0,1.0,28.0,938.0
2019-01-25,2019.0,1.0,25.0,938.0
2019-01-24,2019.0,1.0,24.0,938.0
2019-01-23,2019.0,1.0,23.0,933.0
2019-01-22,2019.0,1.0,22.0,933.0
2019-01-21,2019.0,1.0,21.0,928.0
2019-01-18,2019.0,1.0,18.0,926.0
2019-01-17,2019.0,1.0,17.0,926.0
2019-01-16,2019.0,1.0,16.0,928.0
2019-01-15,2019.0,1.0,15.0,928.0
2019-01-14,2019.0,1.0,14.0,933.0
2019-01-11,2019.0,1.0,11.0,933.0
2019-01-10,2019.0,1.0,10.0,933.0
2019-01-09,2019.0,1.0,9.0,933.0
2019-01-08,2019.0,1.0,8.0,928.0
2019-01-07,2019.0,1.0,7.0,934.0
2019-01-04,2019.0,1.0,4.0,938.0
2019-01-03,2019.0,1.0,3.0,938.0
2019-01-02,2019.0,1.0,2.0,955.0
2018-12-31,2018.0,12.0,31.0,955.0
2018-12-28,2018.0,12.0,28.0,955.0
2018-12-27,2018.0,12.0,27.0,955.0
2018-12-26,2018.0,12.0,26.0,955.0
2018-12-24,2018.0,12.0,24.0,955.0
2018-12-21,2018.0,12.0,21.0,955.0
2018-12-20,2018.0,12.0,20.0,955.0
2018-12-19,2018.0,12.0,19.0,955.0
2018-12-18,2018.0,12.0,18.0,955.0
2018-12-17,2018.0,12.0,17.0,958.0
