Date.1,year,month,day,"product1 country1, EXW"
2020-04-02,2020.0,4.0,2.0,879.954
2020-04-01,2020.0,4.0,1.0,900.56824
2020-03-31,2020.0,3.0,31.0,902.7612
2020-03-30,2020.0,3.0,30.0,906.2018
2020-03-27,2020.0,3.0,27.0,909.49752
2020-03-26,2020.0,3.0,26.0,915.11136
2020-03-25,2020.0,3.0,25.0,910.08816
2020-03-24,2020.0,3.0,24.0,907.9644
2020-03-23,2020.0,3.0,23.0,912.85872
2020-03-20,2020.0,3.0,20.0,923.66496
2020-03-19,2020.0,3.0,19.0,930.50012
2020-03-18,2020.0,3.0,18.0,938.28372
2020-03-17,2020.0,3.0,17.0,937.7814
2020-03-16,2020.0,3.0,16.0,945.23154
2020-03-13,2020.0,3.0,13.0,926.23314
2020-03-12,2020.0,3.0,12.0,923.5163
2020-03-11,2020.0,3.0,11.0,929.48208
2020-03-10,2020.0,3.0,10.0,921.36264
2020-03-09,2020.0,3.0,9.0,922.65426
2020-03-06,2020.0,3.0,6.0,924.51444
2020-03-05,2020.0,3.0,5.0,923.9088
2020-03-04,2020.0,3.0,4.0,917.23104
2020-03-03,2020.0,3.0,3.0,917.78544
2020-03-02,2020.0,3.0,2.0,901.4672
2020-02-28,2020.0,2.0,28.0,908.29464
2020-02-27,2020.0,2.0,27.0,912.42008
2020-02-26,2020.0,2.0,26.0,907.88632
2020-02-25,2020.0,2.0,25.0,911.15946
2020-02-24,2020.0,2.0,24.0,917.86342
2020-02-21,2020.0,2.0,21.0,898.20832
2020-02-20,2020.0,2.0,20.0,890.13362
2020-02-19,2020.0,2.0,19.0,890.346
2020-02-18,2020.0,2.0,18.0,890.472
2020-02-17,2020.0,2.0,17.0,892.548
2020-02-14,2020.0,2.0,14.0,977.592
2020-02-13,2020.0,2.0,13.0,978.9054
2020-02-12,2020.0,2.0,12.0,979.6512
2020-02-11,2020.0,2.0,11.0,980.4696
2020-02-10,2020.0,2.0,10.0,977.9484
2020-02-07,2020.0,2.0,7.0,975.6384
2020-02-06,2020.0,2.0,6.0,979.803
2020-02-05,2020.0,2.0,5.0,979.3938
2020-02-04,2020.0,2.0,4.0,976.0674
2020-02-03,2020.0,2.0,3.0,972.9654
2020-01-23,2020.0,1.0,23.0,984.456
2020-01-22,2020.0,1.0,22.0,988.5744
2020-01-21,2020.0,1.0,21.0,988.7724
2020-01-20,2020.0,1.0,20.0,994.1316
2020-01-17,2020.0,1.0,17.0,995.1348
2020-01-16,2020.0,1.0,16.0,992.4684
2020-01-15,2020.0,1.0,15.0,990.7986
2020-01-14,2020.0,1.0,14.0,989.3532
2020-01-13,2020.0,1.0,13.0,990.3894
2020-01-10,2020.0,1.0,10.0,995.46324
2020-01-09,2020.0,1.0,9.0,990.91446
2020-01-08,2020.0,1.0,8.0,988.90104
2020-01-07,2020.0,1.0,7.0,986.17408
2020-01-06,2020.0,1.0,6.0,979.0968
2020-01-03,2020.0,1.0,3.0,980.5224
2020-01-02,2020.0,1.0,2.0,980.6874
2019-12-31,2019.0,12.0,31.0,980.826
2019-12-30,2019.0,12.0,30.0,980.50074
2019-12-27,2019.0,12.0,27.0,982.13488
2019-12-26,2019.0,12.0,26.0,979.07744
2019-12-25,2019.0,12.0,25.0,980.1565
2019-12-24,2019.0,12.0,24.0,974.8596
2019-12-23,2019.0,12.0,23.0,985.55464
2019-12-20,2019.0,12.0,20.0,986.3696
2019-12-19,2019.0,12.0,19.0,985.8686
2019-12-18,2019.0,12.0,18.0,986.6034
2019-12-17,2019.0,12.0,17.0,987.66552
2019-12-16,2019.0,12.0,16.0,991.167
2019-12-13,2019.0,12.0,13.0,1003.61802
2019-12-12,2019.0,12.0,12.0,1012.2486
2019-12-11,2019.0,12.0,11.0,1007.59334
2019-12-10,2019.0,12.0,10.0,1011.21216
2019-12-09,2019.0,12.0,9.0,1010.36592
2019-12-06,2019.0,12.0,6.0,1016.62264
2019-12-05,2019.0,12.0,5.0,1015.28016
2019-12-04,2019.0,12.0,4.0,1014.5674
2019-12-03,2019.0,12.0,3.0,1012.98272
2019-12-02,2019.0,12.0,2.0,1010.36592
2019-11-29,2019.0,11.0,29.0,1017.18316
2019-11-28,2019.0,11.0,28.0,1016.6088
2019-11-27,2019.0,11.0,27.0,1020.33298
2019-11-26,2019.0,11.0,26.0,1022.54496
2019-11-25,2019.0,11.0,25.0,1022.14128
2019-11-22,2019.0,11.0,22.0,1013.2071
2019-11-21,2019.0,11.0,21.0,1014.6561
2019-11-20,2019.0,11.0,20.0,1013.835
2019-11-19,2019.0,11.0,19.0,1009.27404
2019-11-18,2019.0,11.0,18.0,1006.66032
2019-11-15,2019.0,11.0,15.0,1006.18672
2019-11-14,2019.0,11.0,14.0,998.82456
2019-11-13,2019.0,11.0,13.0,989.78688
2019-11-12,2019.0,11.0,12.0,986.20928
2019-11-11,2019.0,11.0,11.0,980.18936
